Amount.Requested,Loan.Amount,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Score,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.,Employment.Length,Intercept
42743,8000,17,36,credit_card,0.21,TX,RENT,3750,660,6,4010,0,5 years,1
50398,20000,16,36,debt_consolidation,0.21,CO,RENT,5000,680,12,24352,1,< 1 year,1
40343,9600,13,36,credit_card,0.15,PA,RENT,4250,685,17,7713,1,1 year,1
52548,3600,10,36,credit_card,0.11,MI,RENT,2108.33,695,14,4467,0,n/a,1
96704,14075,19,36,other,0.13,NY,RENT,3033.33,690,6,13036,0,8 years,1
10059,3000,8,36,major_purchase,0.11,CT,RENT,3500,735,9,0,2,3 years,1
82534,35000,10,36,debt_consolidation,0.26,NY,RENT,9220,760,12,40782,1,10+ years,1
25767,1700,7,36,car,0.05,VA,RENT,2250,750,4,4527,0,5 years,1
9244,8800,8,36,other,0.21,PA,MORTGAGE,4833,790,6,306,4,5 years,1
6045,24250,12,36,debt_consolidation,0.18,CA,MORTGAGE,8910.42,740,16,81940,0,10+ years,1
5073,10750,11,36,credit_card,0.12,MA,MORTGAGE,4416.67,720,9,12619,1,2 years,1
38378,6000,16,36,debt_consolidation,0.25,CA,MORTGAGE,3264,660,13,6347,1,10+ years,1
99189,15000,10,36,credit_card,0.19,CA,MORTGAGE,5000,700,13,33389,0,10+ years,1
66604,15000,14,36,credit_card,0.16,MD,MORTGAGE,5500,700,10,12413,2,3 years,1
87649,10000,13,36,credit_card,0.14,CA,RENT,7500,680,12,3235,0,6 years,1
58739,5950,12,36,credit_card,0.22,FL,MORTGAGE,5000,690,9,47746,0,10+ years,1
28808,10000,11,36,debt_consolidation,0.08,NY,OWN,5833.33,700,15,11620,0,< 1 year,1
26877,4000,15,36,other,0.11,MA,RENT,2916.67,670,6,1651,1,6 years,1
13309,15000,8,36,home_improvement,0.01,VA,MORTGAGE,10417,780,8,1343,1,< 1 year,1
6128,10000,15,36,debt_consolidation,0.19,NY,RENT,2500,665,8,9092,1,< 1 year,1
70785,8875,13,36,other,0.3,TX,OWN,2166.67,700,9,6797,1,2 years,1
44672,2400,11,36,credit_card,0.11,NY,RENT,2000,705,4,3055,0,10+ years,1
13054,25000,21,60,debt_consolidation,0.19,NJ,RENT,8000,675,9,19548,0,3 years,1
103426,5500,16,36,other,0.19,FL,MORTGAGE,3937.08,685,6,689,8,10+ years,1
4545,6000,13,36,credit_card,0.23,PA,RENT,2916.67,685,11,3334,0,2 years,1
82722,18000,19,60,debt_consolidation,0.06,MD,MORTGAGE,7500,690,8,20675,1,10+ years,1
40489,28000,8,36,small_business,0.06,WA,MORTGAGE,7000,800,8,771,2,9 years,1
49956,32000,16,60,debt_consolidation,0.15,AZ,RENT,7055,725,8,16174,1,6 years,1
69741,6000,13,36,credit_card,0.05,NY,RENT,2625,690,5,4299,1,10+ years,1
65248,7200,9,60,debt_consolidation,0.25,LA,MORTGAGE,3750,750,13,7283,0,6 years,1
75785,11500,11,36,debt_consolidation,0.1,AL,RENT,2916.67,700,6,9562,0,< 1 year,1
27764,4800,5,36,major_purchase,0.1,FL,MORTGAGE,6333.33,790,13,10704,0,10+ years,1
43707,4000,11,36,debt_consolidation,0.23,NC,MORTGAGE,2333.33,685,21,3522,0,7 years,1
35025,15000,11,36,other,0.14,CA,RENT,9083.33,720,11,26902,0,3 years,1
28518,15000,18,36,debt_consolidation,0.21,TX,MORTGAGE,5319.17,675,13,5613,3,2 years,1
42228,25000,12,36,debt_consolidation,0.01,CA,MORTGAGE,16666.67,705,7,2839,0,10+ years,1
81620,4800,19,60,other,0.28,TX,RENT,1560,680,9,6563,0,< 1 year,1
37389,9500,7,36,debt_consolidation,0.19,GA,MORTGAGE,3583.33,735,8,5240,0,10+ years,1
3204,15000,13,36,home_improvement,0.14,MO,MORTGAGE,8750,705,8,21702,3,1 year,1
10554,6000,14,36,debt_consolidation,0.08,CO,RENT,6250,675,6,3507,0,4 years,1
94092,12300,6,36,debt_consolidation,0.07,VA,RENT,6666.67,740,10,10976,0,10+ years,1
43387,24000,8,36,other,0.18,PA,OWN,4250,755,6,19509,0,2 years,1
103784,2000,11,36,other,0.21,NY,MORTGAGE,6833.33,705,19,20653,5,5 years,1
54576,14000,10,36,debt_consolidation,0.23,NJ,MORTGAGE,8750,710,8,25026,0,10+ years,1
47468,10000,12,36,debt_consolidation,0.06,NJ,OWN,5000,700,5,10752,0,4 years,1
2578,13000,10,36,small_business,0.16,TX,MORTGAGE,3500,785,6,0,1,1 year,1
73765,5000,16,60,other,0.12,VA,RENT,5416.67,690,7,8745,1,4 years,1
36519,6000,12,36,credit_card,0.12,VA,RENT,2500,670,6,9482,0,2 years,1
90239,10050,14,36,debt_consolidation,0.06,CA,RENT,2916.67,710,9,7413,1,6 years,1
45980,4800,8,36,debt_consolidation,0.19,OH,RENT,1500,720,12,6813,3,< 1 year,1
55803,14400,11,36,debt_consolidation,0.06,CA,MORTGAGE,6833.33,700,15,10017,0,10+ years,1
98051,11625,15,36,debt_consolidation,0.17,CA,RENT,2833.33,695,8,17469,0,10+ years,1
62884,18200,10,36,credit_card,0.08,NY,RENT,4750,720,13,16184,2,3 years,1
16406,20000,13,36,debt_consolidation,0.16,TX,MORTGAGE,9160,710,9,32392,1,10+ years,1
37065,9600,17,60,credit_card,0.13,NY,RENT,3333.33,695,7,13648,1,10+ years,1
4644,9000,12,36,car,0,MD,RENT,4833,715,6,0,1,4 years,1
57169,35000,18,60,debt_consolidation,0.28,MD,RENT,8083.33,725,15,29300,0,10+ years,1
33050,1900,8,36,debt_consolidation,0.19,PA,MORTGAGE,6000,735,12,18397,2,10+ years,1
46324,20000,14,36,debt_consolidation,0.15,FL,RENT,5166.67,710,8,12394,1,6 years,1
20367,2400,10,36,wedding,0.1,MN,MORTGAGE,3166.67,675,6,2174,0,1 year,1
36837,4500,12,36,debt_consolidation,0.16,CA,MORTGAGE,3333.33,675,15,11963,0,6 years,1
68829,12000,12,36,debt_consolidation,0.19,TX,MORTGAGE,8750,710,10,32028,1,4 years,1
694,10000,9,36,debt_consolidation,0.06,GA,MORTGAGE,7500,730,16,18343,0,7 years,1
61873,11575,8,36,debt_consolidation,0.17,TX,MORTGAGE,2833.33,730,8,5654,0,10+ years,1
94081,20000,7,36,credit_card,0.22,DC,MORTGAGE,8161.33,720,14,27904,1,8 years,1
101622,6000,15,36,debt_consolidation,0.1,MD,RENT,6500,640,6,4103,0,1 year,1
21900,2800,10,36,debt_consolidation,0.2,CA,RENT,3250,700,4,8717,0,5 years,1
70285,6000,14,36,credit_card,0.1,CA,RENT,4250,680,6,5815,1,3 years,1
16069,20000,7,36,debt_consolidation,0.15,CO,RENT,9208,735,10,20965,0,3 years,1
57923,22000,14,60,debt_consolidation,0.18,MI,MORTGAGE,6083.33,720,9,20181,0,8 years,1
99914,10000,13,36,debt_consolidation,0.2,MI,RENT,5416.67,675,9,8066,0,10+ years,1
100662,9450,12,36,credit_card,0.12,IL,MORTGAGE,4666.67,690,13,17639,2,10+ years,1
20530,10400,8,36,debt_consolidation,0.13,CA,MORTGAGE,6354,725,10,19656,3,10+ years,1
20329,15875,15,60,debt_consolidation,0.22,CA,RENT,3000,720,5,14289,2,2 years,1
53424,18000,12,60,other,0.15,VA,MORTGAGE,8333.33,730,7,4038,0,5 years,1
47764,8000,9,36,other,0.03,NY,RENT,5000,710,8,5540,0,2 years,1
94950,12000,14,36,moving,0.2,NY,RENT,4166.67,760,8,14163,0,2 years,1
15213,20000,7,60,debt_consolidation,0.12,NY,OWN,5000,795,9,7960,2,10+ years,1
38976,10000,17,36,debt_consolidation,0.19,CA,RENT,2916.67,660,9,7565,3,4 years,1
40113,24500,19,60,debt_consolidation,0.23,MD,RENT,4497,680,13,18906,0,10+ years,1
71538,10000,12,36,debt_consolidation,0.2,CA,RENT,6250,695,17,16348,0,5 years,1
48972,3600,8,36,credit_card,0.26,OH,MORTGAGE,4166.67,735,19,25,2,3 years,1
31876,12000,17,60,debt_consolidation,0.07,OR,MORTGAGE,5445,670,8,4904,0,9 years,1
48894,6950,11,36,credit_card,0.21,IL,OWN,4583.33,685,7,18814,0,10+ years,1
74320,8525,10,36,debt_consolidation,0.26,MT,MORTGAGE,4583.33,705,8,31398,0,10+ years,1
65600,5000,14,36,credit_card,0.29,CO,RENT,2750,690,14,5957,2,3 years,1
38529,4800,18,60,debt_consolidation,0.14,OR,RENT,3750,695,13,16302,0,10+ years,1
18088,6000,13,36,debt_consolidation,0.21,NV,MORTGAGE,5000,665,11,4363,3,10+ years,1
47960,4000,19,60,small_business,0.09,VA,RENT,3700,680,19,2177,2,2 years,1
48295,14000,6,36,debt_consolidation,0.15,CA,RENT,7500,745,12,16648,0,10+ years,1
46245,23500,15,36,debt_consolidation,0.19,CA,RENT,4000,685,7,20542,0,n/a,1
13454,2500,16,36,major_purchase,0.24,CA,MORTGAGE,1500,665,10,2684,3,1 year,1
16524,2000,6,36,major_purchase,0.03,CA,RENT,1600,745,9,736,0,3 years,1
92631,24000,16,60,credit_card,0.12,NJ,MORTGAGE,7800,675,11,20676,3,2 years,1
14193,12800,11,60,debt_consolidation,0.07,CT,MORTGAGE,4166.67,725,7,11992,1,1 year,1
51829,8000,8,36,wedding,0.22,CA,RENT,5166.67,725,5,0,0,1 year,1
31000,3000,10,36,credit_card,0.21,MO,OWN,2333.33,710,10,3168,1,1 year,1
86532,7000,8,36,credit_card,0.01,FL,RENT,12500,725,4,5093,0,7 years,1
8102,18000,13,36,credit_card,0.06,IL,MORTGAGE,8333.33,690,13,14838,0,10+ years,1
3112,9000,14,36,debt_consolidation,0.08,CA,MORTGAGE,4167,670,7,19696,1,3 years,1
31448,11000,11,36,debt_consolidation,0.04,SC,MORTGAGE,6666.67,695,11,4124,0,4 years,1
51408,6000,8,36,major_purchase,0.15,IL,RENT,4416.67,720,10,2928,0,2 years,1
6646,6500,8,36,debt_consolidation,0.18,NH,RENT,1500,785,5,2816,0,2 years,1
87572,19500,18,36,credit_card,0.1,MD,RENT,10000,675,16,14957,1,2 years,1
33225,16000,17,60,major_purchase,0.19,MD,RENT,7000,695,7,5231,1,10+ years,1
93794,18000,14,60,debt_consolidation,0.14,KS,MORTGAGE,12916.67,685,11,14890,2,10+ years,1
54455,30000,23,60,debt_consolidation,0.17,FL,MORTGAGE,7083.33,665,21,56145,1,10+ years,1
93742,10000,14,36,debt_consolidation,0.06,LA,RENT,8750,660,14,11394,0,3 years,1
12860,16000,16,60,debt_consolidation,0.13,WA,MORTGAGE,5427.42,700,11,19407,1,5 years,1
41993,35000,18,36,debt_consolidation,0.12,MA,MORTGAGE,13333.33,690,12,21393,1,10+ years,1
18447,8000,14,36,wedding,0.1,TX,RENT,7758.33,665,6,12110,1,2 years,1
71782,14500,13,36,debt_consolidation,0.28,WA,MORTGAGE,5988.67,700,12,18020,2,10+ years,1
7789,12000,11,36,other,0.19,VA,RENT,5000,720,9,11779,0,1 year,1
19675,4500,13,36,car,0.01,CA,RENT,11500,670,5,1847,1,1 year,1
5858,16500,12,36,debt_consolidation,0.17,TX,RENT,4810.08,725,7,24351,1,3 years,1
43307,10000,10,36,debt_consolidation,0.14,MN,MORTGAGE,3666.67,705,9,17161,0,1 year,1
88490,35000,19,60,credit_card,0.13,CA,MORTGAGE,9166.67,690,7,26633,0,1 year,1
101891,21000,11,36,home_improvement,0.21,CA,OWN,18333.33,745,31,270800,5,2 years,1
102234,8400,15,36,debt_consolidation,0.16,MD,RENT,7083.33,640,7,14578,3,< 1 year,1
65443,6000,8,36,credit_card,0.09,TX,OWN,1750,705,14,5056,0,6 years,1
47597,12000,19,36,debt_consolidation,0.15,CT,OWN,4166.67,665,3,6309,0,6 years,1
30397,12100,17,36,small_business,0.11,TX,MORTGAGE,6166.67,665,5,2081,0,4 years,1
92868,25000,14,36,home_improvement,0.05,MD,MORTGAGE,6833.33,675,5,8811,0,8 years,1
89683,16000,6,36,debt_consolidation,0.14,CA,MORTGAGE,7333.33,780,11,71838,1,10+ years,1
48006,27000,18,36,home_improvement,0.22,SC,MORTGAGE,8583.33,690,9,6658,1,8 years,1
66892,12250,19,36,debt_consolidation,0.17,LA,OWN,2916.67,665,7,10523,0,7 years,1
79618,10000,18,36,debt_consolidation,0.23,AZ,RENT,2500,665,12,12938,2,4 years,1
55180,9175,14,36,credit_card,0.19,IL,MORTGAGE,7083.33,675,8,25639,0,8 years,1
75159,14075,15,36,debt_consolidation,0.26,VA,OWN,4000,680,13,11907,2,5 years,1
48624,13100,19,36,debt_consolidation,0.23,NY,RENT,7968.75,660,19,19607,1,10+ years,1
75022,14675,9,36,debt_consolidation,0.15,NY,MORTGAGE,4000,715,6,12764,0,7 years,1
5733,5000,11,36,major_purchase,0.03,FL,RENT,3200,710,6,2650,2,3 years,1
92795,18000,13,36,debt_consolidation,0.27,OR,MORTGAGE,4166.67,670,11,16680,0,10+ years,1
94514,12000,8,36,debt_consolidation,0.15,CO,RENT,5666.67,775,7,12094,0,10+ years,1
83906,19400,14,36,debt_consolidation,0.16,MA,MORTGAGE,4583.33,680,12,12434,0,7 years,1
93318,18000,12,36,debt_consolidation,0.19,IL,RENT,3333.33,665,15,26573,0,10+ years,1
62203,12000,18,36,debt_consolidation,0.1,NY,MORTGAGE,7500,665,11,15866,0,7 years,1
60969,8000,13,36,debt_consolidation,0.26,MN,MORTGAGE,4166.67,675,15,11500,0,< 1 year,1
94593,23750,20,60,debt_consolidation,0.14,CT,RENT,8333.33,710,12,10549,3,2 years,1
12932,7500,16,36,debt_consolidation,0.11,VA,MORTGAGE,5000,695,8,8257,0,2 years,1
37813,5500,13,36,debt_consolidation,0.21,OH,RENT,1666.67,680,7,5056,1,< 1 year,1
70028,16950,17,60,debt_consolidation,0.27,OK,MORTGAGE,3583.33,710,7,12588,3,10+ years,1
80138,3000,11,36,major_purchase,0.28,VA,MORTGAGE,4333.33,715,6,6346,0,5 years,1
26033,1600,13,36,debt_consolidation,0.12,CA,RENT,3200,670,5,1214,0,6 years,1
26950,6000,7,36,home_improvement,0.15,NC,MORTGAGE,5833.33,715,12,7961,0,9 years,1
86660,7350,12,36,debt_consolidation,0.2,CA,OWN,3355.05,695,19,11626,3,10+ years,1
97487,12825,18,36,debt_consolidation,0.24,CA,MORTGAGE,3416.67,670,15,8539,1,10+ years,1
88522,24000,21,60,debt_consolidation,0.24,OK,MORTGAGE,6500,685,17,36555,3,6 years,1
64166,10000,18,60,debt_consolidation,0.16,FL,RENT,4104.67,695,5,7597,0,5 years,1
68487,5500,14,36,debt_consolidation,0.28,WV,OWN,1541.67,675,5,10481,1,n/a,1
15014,17500,15,36,debt_consolidation,0.09,CA,RENT,9519.75,695,9,31279,0,10+ years,1
98373,10000,13,36,credit_card,0.19,OH,MORTGAGE,7500,680,11,14426,1,9 years,1
17664,20000,6,36,debt_consolidation,0.12,MD,MORTGAGE,8083.33,770,13,29813,1,10+ years,1
31943,11600,7,36,debt_consolidation,0.09,CA,RENT,5833.33,735,8,2671,1,< 1 year,1
29365,12000,14,60,debt_consolidation,0.13,CT,RENT,4166.67,715,8,2316,1,3 years,1
1800,13000,11,36,small_business,0.14,CA,MORTGAGE,7666.67,720,8,9551,0,9 years,1
57003,8575,17,36,debt_consolidation,0.1,NY,RENT,2500,665,6,8807,2,7 years,1
66296,6100,14,36,credit_card,0.1,LA,RENT,6666.67,685,10,5665,2,2 years,1
49473,14000,15,36,credit_card,0.14,PA,MORTGAGE,5000,680,5,11249,2,10+ years,1
92016,10500,14,36,debt_consolidation,0.2,FL,MORTGAGE,5666.67,670,7,11301,0,10+ years,1
82922,19600,21,60,small_business,0.1,CA,RENT,4170,675,8,11669,0,4 years,1
98272,15000,16,36,credit_card,0.1,NV,RENT,3333.33,670,11,10108,0,4 years,1
94925,8000,17,36,other,0.05,AZ,MORTGAGE,5833.33,725,11,12484,1,10+ years,1
70905,20000,21,36,debt_consolidation,0.27,TX,MORTGAGE,7750,660,15,26976,0,2 years,1
6723,11000,13,36,debt_consolidation,0.19,IL,RENT,3500,700,6,6811,1,2 years,1
102775,6000,18,36,credit_card,0.07,MI,RENT,4166.67,675,5,3433,1,2 years,1
84633,12000,11,36,debt_consolidation,0.03,CA,MORTGAGE,10833.33,705,12,11941,0,2 years,1
58263,17000,13,36,debt_consolidation,0.17,CA,RENT,5083.33,690,10,8890,0,7 years,1
69300,6250,8,36,debt_consolidation,0.08,IL,RENT,1916.67,720,6,3295,0,1 year,1
76916,27825,24,60,debt_consolidation,0.13,CA,RENT,6250,665,16,27093,1,4 years,1
97076,30000,15,36,debt_consolidation,0.15,NJ,RENT,8333.33,680,21,29060,1,8 years,1
2746,4200,14,36,home_improvement,0.05,OH,MORTGAGE,1558.42,675,6,2255,1,< 1 year,1
95637,3800,22,36,small_business,0.08,CA,RENT,4333.33,680,6,4843,2,7 years,1
53567,2000,15,36,moving,0.21,NC,RENT,2766.67,670,5,2162,3,< 1 year,1
77867,6000,14,36,debt_consolidation,0.24,AZ,RENT,4000,680,12,24934,1,10+ years,1
65121,21000,19,60,debt_consolidation,0.16,TX,RENT,8416.67,685,8,8764,2,5 years,1
41900,2500,13,36,credit_card,0.06,NY,RENT,5416.67,680,8,15373,0,6 years,1
33269,2400,17,36,other,0.17,WA,RENT,2700,690,3,3418,1,3 years,1
48581,13000,11,36,credit_card,0.15,CA,RENT,2166.67,720,4,11101,0,3 years,1
52893,4800,15,36,credit_card,0.14,HI,RENT,5000,665,8,7391,0,2 years,1
36929,17475,10,36,credit_card,0.18,NJ,RENT,3333.33,730,15,17261,1,2 years,1
57431,16450,22,60,debt_consolidation,0.26,PA,MORTGAGE,2833.33,670,23,12670,2,5 years,1
40879,14000,15,36,debt_consolidation,0.03,CA,MORTGAGE,8750,680,6,9035,1,10+ years,1
57586,2500,17,36,other,0.11,OH,MORTGAGE,5833.33,665,8,14122,0,8 years,1
62177,8000,18,36,debt_consolidation,0.14,VA,RENT,4166.67,660,10,9425,2,4 years,1
6020,5000,13,36,debt_consolidation,0.21,FL,RENT,3108.33,705,8,0,0,2 years,1
73741,15000,13,36,debt_consolidation,0.13,MA,RENT,9000,690,19,11016,0,< 1 year,1
32694,25000,13,60,wedding,0.04,NY,MORTGAGE,22916.67,720,13,34069,0,10+ years,1
71766,3000,9,36,debt_consolidation,0.32,FL,RENT,1000,700,7,9730,0,n/a,1
83373,6000,8,36,credit_card,0.34,WI,RENT,4116.67,705,16,33746,0,1 year,1
37504,7800,11,36,debt_consolidation,0.07,CO,MORTGAGE,4000,720,6,11063,2,9 years,1
95455,25000,8,36,debt_consolidation,0.19,MI,MORTGAGE,7083.33,710,17,47504,0,9 years,1
63,18500,15,36,credit_card,0.05,NY,RENT,7500,660,8,22379,0,1 year,1
26789,12000,13,60,home_improvement,0.17,GA,MORTGAGE,9166.67,710,11,25165,0,2 years,1
28032,5000,16,36,debt_consolidation,0.05,AL,MORTGAGE,2416.67,665,5,1620,0,6 years,1
24454,2500,11,60,other,0.02,MD,OWN,3958,745,4,3417,0,2 years,1
44163,16000,16,60,debt_consolidation,0.06,NC,MORTGAGE,5083.33,710,7,8729,1,10+ years,1
89884,25000,15,60,debt_consolidation,0.04,NY,RENT,5666.67,745,6,11079,0,3 years,1
28601,2000,17,36,other,0.12,AR,RENT,3400,660,3,747,3,10+ years,1
99913,2200,10,36,major_purchase,0.24,GA,MORTGAGE,3400,730,6,1453,0,5 years,1
7880,14000,10,36,debt_consolidation,0.09,GA,MORTGAGE,8333.33,730,8,40267,1,10+ years,1
64020,3000,13,36,debt_consolidation,0.32,SD,MORTGAGE,2583.33,670,13,6683,0,1 year,1
36527,11425,10,36,debt_consolidation,0.19,FL,MORTGAGE,4750,730,9,6359,3,8 years,1
72604,17325,17,60,debt_consolidation,0.3,CA,RENT,3750,705,13,31362,1,9 years,1
29547,5425,8,36,debt_consolidation,0.21,WV,MORTGAGE,6333.33,730,21,25996,3,10+ years,1
49950,20000,23,60,debt_consolidation,0.02,CA,RENT,12500,665,5,5407,0,5 years,1
34331,3300,12,36,car,0.04,FL,RENT,3730,700,7,3675,1,1 year,1
94232,2000,17,36,home_improvement,0.21,GA,MORTGAGE,3750,670,10,1371,1,7 years,1
98787,26500,13,36,home_improvement,0.14,CA,RENT,5833.33,745,8,64504,2,5 years,1
52440,17975,19,36,debt_consolidation,0.19,FL,RENT,4833.33,670,10,17448,0,7 years,1
2443,15000,13,36,debt_consolidation,0.14,NY,RENT,4458.33,700,15,7701,1,6 years,1
52407,16400,14,60,debt_consolidation,0.24,FL,RENT,3500,725,11,16693,1,5 years,1
46391,13500,14,60,debt_consolidation,0.13,OR,MORTGAGE,8833.33,700,11,18978,0,2 years,1
32183,12000,15,36,debt_consolidation,0.04,AZ,RENT,7083.33,670,7,6040,1,2 years,1
52061,16750,21,60,debt_consolidation,0.22,HI,RENT,2833.33,665,12,7903,0,3 years,1
5531,8000,12,36,major_purchase,0.01,MA,RENT,1125,745,2,707,0,2 years,1
51087,10000,10,36,debt_consolidation,0.14,LA,MORTGAGE,5416.67,710,8,10560,0,3 years,1
11132,10000,15,36,debt_consolidation,0.11,CA,RENT,7083,670,13,11890,0,3 years,1
7752,5525,14,36,credit_card,0.21,CA,MORTGAGE,6620,720,8,37573,2,10+ years,1
30788,17200,20,60,home_improvement,0.1,CO,RENT,3666.67,705,4,2117,3,2 years,1
77919,19600,16,36,other,0.29,NY,RENT,4166.67,680,17,22053,1,3 years,1
4841,4000,11,36,debt_consolidation,0.23,TX,MORTGAGE,3833.33,715,9,0,0,2 years,1
48151,13000,13,36,debt_consolidation,0.11,NH,RENT,5000,735,3,11090,1,1 year,1
2885,8000,10,36,house,0,KS,RENT,4250,790,4,132,3,5 years,1
647,25000,10,36,home_improvement,0.1,MA,MORTGAGE,7916.67,755,23,16386,0,4 years,1
9495,20000,10,36,wedding,0.11,NY,RENT,7083.33,750,14,18196,0,3 years,1
92367,27575,17,60,debt_consolidation,0.18,WA,MORTGAGE,7833.33,680,20,28055,2,7 years,1
100674,24000,14,36,debt_consolidation,0.16,CA,MORTGAGE,7500,670,5,2426,0,10+ years,1
62867,7000,18,36,wedding,0.16,IL,RENT,5000,660,11,13665,1,5 years,1
32444,12000,17,60,debt_consolidation,0.11,MD,MORTGAGE,3500,685,6,26874,0,10+ years,1
33119,14000,19,60,debt_consolidation,0.14,CA,MORTGAGE,3616,670,9,13923,0,2 years,1
4730,10000,11,36,debt_consolidation,0.13,CA,RENT,2500,725,8,14257,0,3 years,1
84738,7750,6,36,debt_consolidation,0.22,CO,RENT,4766.67,780,14,4667,3,6 years,1
58490,15000,14,36,debt_consolidation,0.17,TX,OWN,3333.33,690,8,10820,0,5 years,1
12015,15000,12,36,debt_consolidation,0.12,AR,MORTGAGE,5000,705,9,3470,3,10+ years,1
71758,25000,15,36,debt_consolidation,0.13,CA,RENT,5416.67,685,10,22824,0,6 years,1
19344,15000,15,60,debt_consolidation,0.08,NC,MORTGAGE,4407,720,8,15818,1,n/a,1
56528,5000,16,36,debt_consolidation,0.16,CT,MORTGAGE,8750,660,12,19598,1,2 years,1
17236,5000,13,36,wedding,0.17,PA,MORTGAGE,3250,665,18,4656,0,3 years,1
99541,35000,15,36,debt_consolidation,0.15,NJ,RENT,6666.67,680,22,33472,0,10+ years,1
1977,7500,15,36,debt_consolidation,0.18,CA,OWN,5000,675,11,16422,0,< 1 year,1
15197,25000,10,60,home_improvement,0.16,CA,MORTGAGE,3333.33,765,6,22713,1,10+ years,1
11620,3800,11,36,major_purchase,0.15,PA,MORTGAGE,5416.67,700,11,9266,0,10+ years,1
73232,2800,9,36,other,0.28,VA,RENT,3250,700,13,22401,0,10+ years,1
27317,6250,7,36,credit_card,0.24,AR,MORTGAGE,2900,730,13,21536,0,2 years,1
38774,18000,10,36,debt_consolidation,0.12,WA,MORTGAGE,3333.33,725,13,10416,2,5 years,1
73956,6000,17,36,debt_consolidation,0.29,WV,RENT,2752.92,660,12,4569,2,< 1 year,1
77363,20000,14,36,debt_consolidation,0.35,TX,MORTGAGE,4583.33,710,8,6510,1,2 years,1
71926,8000,11,36,debt_consolidation,0.24,KY,RENT,2666.67,700,11,10128,0,5 years,1
46024,12000,7,36,home_improvement,0.05,NY,MORTGAGE,9833.33,790,15,5584,2,10+ years,1
11376,24000,11,60,home_improvement,0.12,CO,OWN,5686.67,775,6,1726,2,2 years,1
13393,3000,11,36,debt_consolidation,0.09,CA,RENT,4900,690,6,3996,1,10+ years,1
26533,5000,7,36,major_purchase,0.09,AL,MORTGAGE,3750,745,12,3998,0,6 years,1
48955,21850,14,60,debt_consolidation,0.18,NY,RENT,3750,730,5,7102,0,3 years,1
95456,21850,23,60,medical,0.27,IL,MORTGAGE,5833.33,675,21,29643,2,3 years,1
102846,10000,13,36,credit_card,0.14,CA,MORTGAGE,6666.67,690,8,126402,2,9 years,1
2074,15000,16,36,other,0.03,IL,OWN,2500,680,6,3004,2,1 year,1
23197,9600,7,36,other,0.1,RI,RENT,6048,740,7,15700,0,7 years,1
44626,25000,21,36,credit_card,0.15,FL,RENT,7301.58,670,18,21675,0,4 years,1
10262,25000,11,60,home_improvement,0.05,FL,MORTGAGE,3333.33,780,9,3367,3,2 years,1
37041,30000,8,36,home_improvement,0,MA,RENT,13416.67,810,9,2174,3,10+ years,1
24376,20000,17,60,debt_consolidation,0.07,WA,OWN,4000,700,6,5845,0,10+ years,1
57260,14825,14,36,small_business,0.1,CA,RENT,2500,695,8,8073,1,2 years,1
81130,8000,17,36,debt_consolidation,0.02,NY,MORTGAGE,6000,670,5,5032,2,10+ years,1
38892,20000,12,36,debt_consolidation,0.15,TX,MORTGAGE,10416.67,720,12,26179,2,1 year,1
35468,7000,8,36,medical,0.21,TX,OWN,2300,765,4,0,0,10+ years,1
7173,20000,11,36,debt_consolidation,0.13,AL,MORTGAGE,2416.67,760,5,6011,0,1 year,1
102295,5000,11,36,major_purchase,0,PA,RENT,3166.67,680,5,4254,5,< 1 year,1
99065,17625,13,36,credit_card,0.15,OH,RENT,3333.33,675,6,20266,0,2 years,1
53234,7150,13,36,debt_consolidation,0.12,IL,RENT,3666.67,685,11,10561,1,< 1 year,1
16215,25000,10,36,debt_consolidation,0.01,HI,RENT,8533.33,720,9,28038,0,10+ years,1
77494,15000,14,36,debt_consolidation,0.33,AZ,RENT,4500,675,20,13369,0,< 1 year,1
66072,9000,7,36,debt_consolidation,0.14,MA,RENT,4166.67,765,5,7853,0,1 year,1
6976,17600,16,36,debt_consolidation,0.17,PA,MORTGAGE,7500,665,16,14555,0,7 years,1
22259,10000,13,36,debt_consolidation,0.14,IL,RENT,2500,690,6,10481,1,< 1 year,1
15470,11200,15,60,home_improvement,0.16,VA,MORTGAGE,6750,675,15,19051,0,4 years,1
84805,13225,15,36,debt_consolidation,0.27,CA,RENT,5833.33,680,11,18569,1,10+ years,1
69014,4000,11,36,other,0.34,FL,MORTGAGE,3333.33,700,12,12922,0,4 years,1
26886,12000,11,36,credit_card,0.09,NC,MORTGAGE,12083.33,720,7,43299,2,3 years,1
71550,35000,19,36,debt_consolidation,0.21,CT,MORTGAGE,13750,735,38,99549,2,10+ years,1
8051,25000,15,36,debt_consolidation,0.25,FL,RENT,8750,705,11,20798,1,< 1 year,1
56595,9000,6,36,debt_consolidation,0.12,VA,MORTGAGE,5000,750,13,5224,0,7 years,1
48498,18225,12,36,debt_consolidation,0.21,MN,MORTGAGE,4850,700,7,37592,0,3 years,1
10737,4750,15,36,small_business,0.03,CO,OWN,866.67,660,6,740,0,n/a,1
48798,14400,7,36,home_improvement,0.07,FL,MORTGAGE,12500,770,6,1280,0,10+ years,1
